counter	telosb_temp	telosb_humid	telosb_light	sbt_temp	sbt_light	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	26	51.8947	1.40805	17.4586	499.878	2013-02-26 09:54:08	40004	1361843648266	1
2	25.97	51.9226	1.12644	17.3336	133.911	2013-02-26 09:54:13	40004	1361843653603	2
3	25.96	51.9852	1.40805	17.2711	133.667	2013-02-26 09:54:18	40004	1361843658947	3
4	25.98	51.9878	1.40805	17.3024	132.812	2013-02-26 09:54:24	40004	1361843664287	4
5	25.97	51.9546	1.12644	17.1461	131.958	2013-02-26 09:54:29	40004	1361843669631	5
6	25.95	51.9838	2.25288	17.2086	133.789	2013-02-26 09:54:34	40004	1361843674971	6
7	25.98	52.0198	0.56322	17.1461	132.812	2013-02-26 09:54:40	40004	1361843680315	7
8	26	51.9586	1.12644	17.1148	132.08	2013-02-26 09:54:45	40004	1361843685663	8
9	26.02	51.9293	2.25288	17.2086	132.935	2013-02-26 09:54:51	40004	1361843691003	9
10	26	51.8947	1.12644	17.1148	133.789	2013-02-26 09:54:56	40004	1361843696349	10
11	26.01	51.896	1.40805	17.2711	132.812	2013-02-26 09:55:01	40004	1361843701691	11
12	26.03	51.8987	0	17.1461	133.179	2013-02-26 09:55:07	40004	1361843707035	12
13	26.01	51.8641	1.40805	17.4274	133.789	2013-02-26 09:55:12	40004	1361843712384	13
14	26	51.8947	0.84483	17.2086	132.446	2013-02-26 09:55:17	40004	1361843717727	14
15	26.01	51.928	1.12644	17.2086	133.057	2013-02-26 09:55:23	40004	1361843723069	15
16	26	51.9266	0.84483	17.3961	132.812	2013-02-26 09:55:28	40004	1361843728420	16
17	26.01	51.928	0.56322	17.3961	134.277	2013-02-26 09:55:33	40004	1361843733759	17
18	25.99	51.9253	1.40805	17.1461	133.667	2013-02-26 09:55:39	40004	1361843739100	18
19	25.98	51.9559	1.12644	17.0836	133.179	2013-02-26 09:55:44	40004	1361843744449	19
20	26	51.9586	1.12644	17.2711	134.521	2013-02-26 09:55:49	40004	1361843749794	20
21	26	51.9266	1.12644	17.1148	133.911	2013-02-26 09:55:55	40004	1361843755131	21
22	25.99	51.9253	1.40805	17.3649	134.155	2013-02-26 09:56:00	40004	1361843760479	22
23	25.96	51.9213	1.12644	17.0523	133.057	2013-02-26 09:56:05	40004	1361843765824	23
24	25.99	51.9572	1.12644	17.1148	133.667	2013-02-26 09:56:11	40004	1361843771160	24
25	25.98	51.9559	1.40805	17.1461	132.324	2013-02-26 09:56:16	40004	1361843776509	25
26	25.99	51.9572	1.12644	17.2711	133.667	2013-02-26 09:56:21	40004	1361843781852	26
27	25.96	51.9532	1.12644	17.1148	133.179	2013-02-26 09:56:27	40004	1361843787192	27
28	25.98	51.9878	1.12644	17.1461	132.812	2013-02-26 09:56:32	40004	1361843792536	28
29	25.98	51.9559	1.40805	16.9586	133.057	2013-02-26 09:56:37	40004	1361843797884	29
30	25.98	51.924	1.40805	17.1148	133.667	2013-02-26 09:56:43	40004	1361843803228	30
31	25.98	51.924	0.56322	16.9273	132.324	2013-02-26 09:56:48	40004	1361843808572	31
32	25.97	51.9865	1.12644	17.0523	132.446	2013-02-26 09:56:53	40004	1361843813920	32
33	25.97	51.9865	1.40805	16.9586	133.423	2013-02-26 09:56:59	40004	1361843819264	33
34	25.98	51.9878	0.56322	17.2399	133.301	2013-02-26 09:57:04	40004	1361843824604	34
35	25.99	51.9892	0.84483	17.0523	133.911	2013-02-26 09:57:09	40004	1361843829952	35
36	26.01	51.928	1.12644	17.4899	133.423	2013-02-26 09:57:15	40004	1361843835296	36
37	26.02	51.8973	1.40805	17.1773	133.667	2013-02-26 09:57:20	40004	1361843840644	37
38	26	51.8947	1.40805	17.3024	133.301	2013-02-26 09:57:25	40004	1361843845984	38
39	25.99	51.9253	1.12644	17.1461	133.179	2013-02-26 09:57:31	40004	1361843851329	39
40	25.98	51.9559	1.40805	17.3024	133.789	2013-02-26 09:57:36	40004	1361843856676	40
41	25.97	51.9865	1.68966	17.3961	133.057	2013-02-26 09:57:42	40004	1361843862013	41
42	25.96	51.9852	1.40805	17.2086	134.155	2013-02-26 09:57:47	40004	1361843867360	42
43	25.99	51.9892	1.40805	17.1148	133.179	2013-02-26 09:57:52	40004	1361843872701	43
44	25.99	51.9572	1.40805	17.2399	134.277	2013-02-26 09:57:58	40004	1361843878049	44
45	25.98	51.9559	1.68966	17.2711	134.399	2013-02-26 09:58:03	40004	1361843883390	45
46	25.94	51.9825	1.40805	17.1773	133.911	2013-02-26 09:58:08	40004	1361843888733	46
47	25.9	52.0729	1.12644	17.3024	133.789	2013-02-26 09:58:14	40004	1361843894073	47
48	25.84	52.1606	1.40805	17.4899	133.789	2013-02-26 09:58:19	40004	1361843899421	48
49	25.82	52.2854	0	17.2086	133.301	2013-02-26 09:58:24	40004	1361843904765	49
50	25.83	52.3504	1.97127	17.2086	133.789	2013-02-26 09:58:30	40004	1361843910109	50
51	25.86	52.3226	1.97127	16.9586	133.301	2013-02-26 09:58:35	40004	1361843915450	51
52	25.87	52.324	1.12644	17.0523	133.545	2013-02-26 09:58:40	40004	1361843920793	52
53	25.87	52.2921	0.56322	17.4274	133.911	2013-02-26 09:58:46	40004	1361843926137	53
