counter	raw_temp	raw_humid	raw_light	temp	humid	light	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	6560	1541	5	26	51.8947	1.40805	2013-02-26 09:54:08	40002	1361843648232	1
2	6557	1542	4	25.97	51.9226	1.12644	2013-02-26 09:54:13	40002	1361843653575	2
3	6556	1544	5	25.96	51.9852	1.40805	2013-02-26 09:54:18	40002	1361843658911	3
4	6558	1544	5	25.98	51.9878	1.40805	2013-02-26 09:54:24	40002	1361843664255	4
5	6557	1543	4	25.97	51.9546	1.12644	2013-02-26 09:54:29	40002	1361843669595	5
6	6555	1544	8	25.95	51.9838	2.25288	2013-02-26 09:54:34	40002	1361843674944	6
7	6558	1545	2	25.98	52.0198	0.56322	2013-02-26 09:54:40	40002	1361843680283	7
8	6560	1543	4	26	51.9586	1.12644	2013-02-26 09:54:45	40002	1361843685627	8
9	6562	1542	8	26.02	51.9293	2.25288	2013-02-26 09:54:50	40002	1361843690971	9
10	6560	1541	4	26	51.8947	1.12644	2013-02-26 09:54:56	40002	1361843696311	10
11	6561	1541	5	26.01	51.896	1.40805	2013-02-26 09:55:01	40002	1361843701655	11
12	6563	1541	0	26.03	51.8987	0	2013-02-26 09:55:06	40002	1361843706999	12
13	6561	1540	5	26.01	51.8641	1.40805	2013-02-26 09:55:12	40002	1361843712343	13
14	6560	1541	3	26	51.8947	0.84483	2013-02-26 09:55:17	40002	1361843717692	14
15	6561	1542	4	26.01	51.928	1.12644	2013-02-26 09:55:23	40002	1361843723056	15
16	6560	1542	3	26	51.9266	0.84483	2013-02-26 09:55:28	40002	1361843728379	16
17	6561	1542	2	26.01	51.928	0.56322	2013-02-26 09:55:33	40002	1361843733727	17
18	6559	1542	5	25.99	51.9253	1.40805	2013-02-26 09:55:39	40002	1361843739067	18
19	6558	1543	4	25.98	51.9559	1.12644	2013-02-26 09:55:44	40002	1361843744407	19
20	6560	1543	4	26	51.9586	1.12644	2013-02-26 09:55:49	40002	1361843749755	20
21	6560	1542	4	26	51.9266	1.12644	2013-02-26 09:55:55	40002	1361843755099	21
22	6559	1542	5	25.99	51.9253	1.40805	2013-02-26 09:56:00	40002	1361843760444	22
23	6556	1542	4	25.96	51.9213	1.12644	2013-02-26 09:56:05	40002	1361843765788	23
24	6559	1543	4	25.99	51.9572	1.12644	2013-02-26 09:56:11	40002	1361843771132	24
25	6558	1543	5	25.98	51.9559	1.40805	2013-02-26 09:56:16	40002	1361843776472	25
26	6559	1543	4	25.99	51.9572	1.12644	2013-02-26 09:56:21	40002	1361843781816	26
27	6556	1543	4	25.96	51.9532	1.12644	2013-02-26 09:56:27	40002	1361843787160	27
28	6558	1544	4	25.98	51.9878	1.12644	2013-02-26 09:56:32	40002	1361843792500	28
29	6558	1543	5	25.98	51.9559	1.40805	2013-02-26 09:56:37	40002	1361843797845	29
30	6558	1542	5	25.98	51.924	1.40805	2013-02-26 09:56:43	40002	1361843803192	30
31	6558	1542	2	25.98	51.924	0.56322	2013-02-26 09:56:48	40002	1361843808536	31
32	6557	1544	4	25.97	51.9865	1.12644	2013-02-26 09:56:53	40002	1361843813884	32
33	6557	1544	5	25.97	51.9865	1.40805	2013-02-26 09:56:59	40002	1361843819229	33
34	6558	1544	2	25.98	51.9878	0.56322	2013-02-26 09:57:04	40002	1361843824576	34
35	6559	1544	3	25.99	51.9892	0.84483	2013-02-26 09:57:09	40002	1361843829913	35
36	6561	1542	4	26.01	51.928	1.12644	2013-02-26 09:57:15	40002	1361843835285	36
37	6562	1541	5	26.02	51.8973	1.40805	2013-02-26 09:57:20	40002	1361843840608	37
38	6560	1541	5	26	51.8947	1.40805	2013-02-26 09:57:25	40002	1361843845952	38
39	6559	1542	4	25.99	51.9253	1.12644	2013-02-26 09:57:31	40002	1361843851293	39
40	6558	1543	5	25.98	51.9559	1.40805	2013-02-26 09:57:36	40002	1361843856636	40
41	6557	1544	6	25.97	51.9865	1.68966	2013-02-26 09:57:41	40002	1361843861981	41
42	6556	1544	5	25.96	51.9852	1.40805	2013-02-26 09:57:47	40002	1361843867324	42
43	6559	1544	5	25.99	51.9892	1.40805	2013-02-26 09:57:52	40002	1361843872674	43
44	6559	1543	5	25.99	51.9572	1.40805	2013-02-26 09:57:58	40002	1361843878013	44
45	6558	1543	6	25.98	51.9559	1.68966	2013-02-26 09:58:03	40002	1361843883357	45
46	6554	1544	5	25.94	51.9825	1.40805	2013-02-26 09:58:08	40002	1361843888701	46
47	6550	1547	4	25.9	52.0729	1.12644	2013-02-26 09:58:14	40002	1361843894041	47
48	6544	1550	5	25.84	52.1606	1.40805	2013-02-26 09:58:19	40002	1361843899381	48
49	6542	1554	0	25.82	52.2854	0	2013-02-26 09:58:24	40002	1361843904729	49
50	6543	1556	7	25.83	52.3504	1.97127	2013-02-26 09:58:30	40002	1361843910073	50
51	6546	1555	7	25.86	52.3226	1.97127	2013-02-26 09:58:35	40002	1361843915424	51
52	6547	1555	4	25.87	52.324	1.12644	2013-02-26 09:58:40	40002	1361843920757	52
53	6547	1554	2	25.87	52.2921	0.56322	2013-02-26 09:58:46	40002	1361843926102	53
